"W_FROM","W_TO","MEAN_PWD","MEDIAN_PWD","MAX_PWD","SUM_BRL"
500,800,0.180486823190432,0.168906343968017,0.682858418811952,4.68574301150086
501,801,0.194095811415531,0.186390617979062,0.565160959296163,5.10483988628722
502,802,0.172510268372472,0.16395635060416,0.631887374349595,5.16464277368704
503,803,0.167510705142278,0.152957331888747,0.767261764355717,4.38691754360185
504,804,0.185798241096296,0.171994668157655,0.750683273762192,4.49901135036468
505,805,0.148482596689154,0.144696105706607,0.420449905533485,3.80891711698791
506,806,0.177581525621051,0.156330487888229,0.822607463390455,4.57004671734359
507,807,0.177185740729911,0.159944463988719,0.709071660767605,4.3189018085042
508,808,0.186063521620704,0.172213174512303,0.693932552579077,5.06746853425092
509,809,0.169679650486048,0.159238465837071,0.593861357872657,4.2519467923856
510,810,0.183233827391685,0.171391826894956,0.592902736691046,5.13718966918689
511,811,0.172836489908303,0.167588568201502,0.486098205903984,4.5522853066243
512,812,0.189622724445386,0.176852153749168,0.675619167885589,5.10827716737445
513,813,0.178235632260456,0.1685126440167,0.616547886562453,5.1994700936877
514,814,0.185817222461004,0.170634307819632,0.724210586982583,5.6647642057307
515,815,0.206786628740371,0.191346114643916,0.733966404352353,6.4193982476642
516,816,0.200202235924062,0.188371185627896,0.662425445569087,6.20676643311572
517,817,0.211670831301847,0.19355951210278,0.76276033232348,6.259651736961
518,818,0.186103082370307,0.177297940234321,0.643861663461889,5.78276820028837
519,819,0.22424912181882,0.209660319107474,0.699823504349682,6.73766885473443
520,820,0.214368488470053,0.202016037088529,0.705131594596693,6.30384122691364
521,821,0.181039655024131,0.176965457645287,0.478530004177178,5.32493203018617
522,822,0.190062997959386,0.184597289401684,0.519166295493042,5.88556415624153
523,823,0.18137617481893,0.1784904829528,0.480614733097005,5.89803930737584
524,824,0.179758843427768,0.177471859024024,0.44727860485588,5.5859796730369
525,825,0.190392264422957,0.187244553629471,0.578067949114939,6.37118906348873
526,826,0.199383246491501,0.192161885109648,0.546404803620646,6.00351133147046
527,827,0.196329315122695,0.190591708045684,0.579960532115675,5.98620058078959
528,828,0.214924952196677,0.208188939307607,0.681728791251277,6.72972887413867
529,829,0.213047433016322,0.208880877411434,0.658896922484723,7.14947256262522
530,830,0.211005045907281,0.207547824866854,0.581481542559079,6.80238486984585
531,831,0.201342504519191,0.196657790421056,0.541894419106541,6.47447996271052
532,832,0.203443696567542,0.198945908150472,0.510848560670344,6.12047312508167
533,833,0.227913802699777,0.218152331667434,0.676115739106245,6.70249380248835
534,834,0.246570723274876,0.236979630833572,0.712050413136854,7.36616881934706
535,835,0.237376430199244,0.23102330533416,0.584393514353143,7.35471596574955
536,836,0.241390694386071,0.23487231169123,0.66241486650183,7.28552173385556
537,837,0.229376248256354,0.222890177872792,0.586231560826526,7.16849453039527
538,838,0.229168502424843,0.222071728786472,0.584569686351351,7.13463584843498
539,839,0.2352027255251,0.227501184313998,0.630707155853635,7.33639258047256
540,840,0.215119369053511,0.211977037984563,0.55563899489451,6.77990102721763
541,841,0.210009964116024,0.206587779588764,0.550329002670116,6.5539316141091
542,842,0.211980435391092,0.209600629049081,0.550698510999387,7.02868501635828
543,843,0.216344076689481,0.211033139359593,0.627295256430681,7.14396264326012
544,844,0.219380589294936,0.218120104225462,0.540701361055444,6.93323484365429
545,845,0.212031057108921,0.208960047107567,0.563802162895506,7.01084396760255
546,846,0.204766354767715,0.203395432182196,0.531699145997809,6.77547142759334
547,847,0.20910485638053,0.208020490133401,0.508089485345233,6.68923206454418
548,848,0.210203850145668,0.209124299015984,0.502098217576888,6.8589733592118
549,849,0.211718639146684,0.209515235348083,0.556004917066024,7.01586628128256
550,850,0.225120618429309,0.220157446182212,0.643462309502429,7.61425947163683
551,851,0.209663822188832,0.205783711386336,0.610716436776106,7.28186576853638
552,852,0.213571262502267,0.209253817035697,0.640021084939171,7.02637213488654
553,853,0.217882599429213,0.211025472487451,0.575397411011421,7.23203271739387
554,854,0.219716982058628,0.214772987392412,0.549489411731965,6.96973297659634
555,855,0.223782107969765,0.218886713847595,0.57296262463672,7.16284437307731
556,856,0.238617572392142,0.233003668257122,0.595713234132846,6.88265324002207
557,857,0.254233876339377,0.250616342926083,0.63786664357838,7.02534051722953
558,858,0.22326289337563,0.222357670989314,0.576190078598299,7.10305429473688
559,859,0.24344330558066,0.239181161902526,0.627202633477329,7.28794266973151
560,860,0.231666907786703,0.230717215516705,0.578985120247688,7.31182081763796
561,861,0.228442865483028,0.227930186509854,0.583387866465819,7.3650026428638
562,862,0.216654990963608,0.215358687537856,0.570464424082446,7.45226863794824
563,863,0.208749313402465,0.205972998004554,0.564089032544401,7.14530916940362
564,864,0.212865813133671,0.211535221335171,0.509665564503805,6.80674389678088
565,865,0.234937222895082,0.233227207731035,0.565163864010776,7.84595091054172
566,866,0.240401202747231,0.238646761724767,0.603062068514681,7.96475841096466
567,867,0.215319823860216,0.21454039884026,0.534574136656787,7.31182069461784
568,868,0.219787919559488,0.218398752383578,0.553332024689955,7.52864843189952
569,869,0.214716365170341,0.212693593780769,0.514709884549098,7.31616030126147
570,870,0.224494431153916,0.222736748818957,0.539083481796386,7.62465747763385
571,871,0.203107637348395,0.20231619288876,0.459429425236614,7.05733985086745
572,872,0.206830169531507,0.205031221218449,0.486999891649898,7.19098083623134
573,873,0.201988699020785,0.199870782495325,0.483527264428556,7.16726351479364
